id,category,title
1,business,Ad sales boost Time Warner profit
2,business,Dollar gains on Greenspan speech
3,business,Yukos unit buyer faces loan claim
4,business,High fuel prices hit BA's profits
5,business,Pernod takeover talk lifts Domecq
6,business,Japan narrowly escapes recession
7,business,Jobs growth still slow in the US
8,business,India calls for fair trade rules
9,business,Ethiopia's crop production up 24%
10,business,Court rejects $280bn tobacco case
11,business,Ask Jeeves tips online ad revival
12,business,Indonesians face fuel price rise
13,business,Peugeot deal boosts Mitsubishi
14,business,Telegraph newspapers axe 90 jobs
15,business,Air passengers win new EU rights
16,business,China keeps tight rein on credit
17,business,Parmalat boasts doubled profits
18,business,India's rupee hits five-year high
19,business,India widens access to telecoms
20,business,Call centre users 'lose patience'
21,business,Rank 'set to sell off film unit'
22,business,Sluggish economy hits German jobs
23,business,Mixed signals from French economy
24,business,US trade gap hits record in 2004
25,business,Yukos loses US bankruptcy battle
26,business,Safety alert as GM recalls cars
27,business,"Steel firm 'to cut' 45,000 jobs"
28,business,Strong demand triggers oil rally
29,business,UK firm faces Venezuelan land row
30,business,Soaring oil 'hits world economy'
31,business,Irish markets reach all-time high
32,business,Japanese banking battle at an end
33,business,Rich grab half Colombia poor fund
34,business,"Rover deal 'may cost 2,000 jobs'"
35,business,Ad firm WPP's profits surge 15%
36,business,US gives foreign firms extra time
37,business,Japanese mogul arrested for fraud
38,business,Deutsche Telekom sees mobile gain
39,business,Chinese wine tempts Italy's Illva
40,business,Umbro profits lifted by Euro 2004
41,business,Fed chief warning on US deficit
42,business,UK Coal plunges into deeper loss
43,business,Saudi ministry to employ women
44,business,Japan economy slides to recession
45,business,US crude prices surge above $53
46,business,Industrial output falls in Japan
47,business,Ryanair in $4bn Boeing plane deal
48,business,Parmalat to return to stockmarket
49,business,BMW cash to fuel Mini production
50,business,Bad weather hits Nestle sales
51,business,Fiat mulls Ferrari market listing
52,business,Italy to get economic action plan
53,business,Weak dollar hits Reuters
54,business,Hyundai to build new India plant
55,business,SA unveils 'more for all' budget
56,business,BMW drives record sales in Asia
57,business,Economy 'stronger than forecast'
58,business,Electrolux to export Europe jobs
59,business,Worldcom ex-boss launches defence
60,business,Insurance bosses plead guilty
61,business,Further rise in UK jobless total
62,business,Wembley firm won't make a profit
63,business,Cars pull down US retail figures
64,business,Lufthansa may sue over Bush visit
65,business,EU aiming to fuel development aid
66,business,German business confidence slides
67,business,FAO warns on impact of subsidies
68,business,India seeks to boost construction
69,business,Boeing unveils new 777 aircraft
70,business,Circuit City gets takeover offer
71,business,Japan turns to beer alternatives
72,business,S Korean consumers spending again
73,business,German growth goes into reverse
74,business,Turkey-Iran mobile deal 'at risk'
75,business,EU ministers to mull jet fuel tax
76,business,Palestinian economy in decline
77,business,China had role in Yukos split-up
78,business,Deadline nears for Fiat-GM deal
79,business,ID theft surge hits US consumers
80,business,"Argentina, Venezuela in oil deal"
81,business,BMW to recall faulty diesel cars
82,business,Takeover rumour lifts Exel shares
83,business,Yukos accused of lying to court
84,business,Mexican in US send $16bn home
85,business,Home loan approvals rising again
86,business,Manufacturing recovery 'slowing'
87,business,Worldcom boss 'left books alone'
88,business,Metlife buys up Citigroup insurer
89,business,Europe blames US over weak dollar
90,business,French wine gets 70m euro top-up
91,business,Russia gets investment blessing
92,business,Iranian MPs threaten mobile deal
93,business,Argentina closes $102.6bn debt swap
94,business,US economy shows solid GDP growth
95,business,Profits slide at India's Dr Reddy
96,business,Burren awarded Egyptian contracts
97,business,'Strong dollar' call halts slide
98,business,IMF 'cuts' German growth estimate
99,business,"GM, Ford cut output as sales fall"
100,business,Ebbers denies WorldCom fraud
101,business,Australia rates at four year high
102,business,US company admits Benin bribery
103,business,"US insurer Marsh cuts 2,500 jobs"
104,business,US seeks new $280bn smoker ruling
105,business,Budget Aston takes on Porsche
106,business,Golden rule 'intact' says ex-aide
107,business,Liberian economy starts to grow
108,business,Slowdown hits US factory growth
109,business,Lufthansa flies back to profit
110,business,Japanese growth grinds to a halt
111,business,Unilever shake up as profit slips
112,business,France Telecom gets Orange boost
113,business,Brussels raps mobile call charges
114,business,WorldCom director admits lying
115,business,Glaxo aims high after profit fall
116,business,Japan bank shares up on link talk
117,business,Car giant hit by Mercedes slump
118,business,Ericsson sees earnings improve
119,business,Bank opts to leave rates on hold
120,business,Nigeria to boost cocoa production
121,business,US interest rates increased to 2%
122,business,US bank in $515m SEC settlement
123,business,Train strike grips Buenos Aires
124,business,Bargain calls widen Softbank loss
125,business,WMC profits up amid bid criticism
126,business,Barclays profits hit record level
127,business,Yukos owner sues Russia for $28bn
128,business,Qantas sees profits fly to record
129,business,Iraq to invite phone licence bids
130,business,Aviation firms eye booming India
131,business,Russian oil merger excludes Yukos
132,business,Brazil buy boosts Belgium's Inbev
133,business,Salary scandal in Cameroon
134,business,US adds more jobs than expected
135,business,Feta cheese battle reaches court
136,business,Ukraine revisits state sell-offs
137,business,Bank set to leave rates on hold
138,business,Winter freeze keeps oil above $50
139,business,German jobless rate at new record
140,business,Ore costs hit global steel firms
141,business,BMW reveals new models pipeline
142,business,Asian banks halt dollar's slide
143,business,Weak dollar trims Cadbury profits
144,business,Oil prices fall back from highs
145,business,Winn-Dixie files for bankruptcy
146,business,Why few targets are better than many
147,business,Malaysia lifts Islamic bank limit
148,business,Alfa Romeos 'to get GM engines'
149,business,Saab to build Cadillacs in Sweden
150,business,Shares hit by MS drug suspension
151,business,Bank voted 8-1 for no rate change
152,business,Crude oil prices back above $50
153,business,House prices show slight increase
154,business,Golden rule boost for Chancellor
155,business,Macy's owner buys rival for $11bn
156,business,Industrial revival hope for Japan
157,business,Khodorkovsky ally denies charges
158,business,Qatar and Shell in $6bn gas deal
159,business,India unveils anti-poverty budget
160,business,GM pays $2bn to evade Fiat buyout
161,business,Ex-Boeing director gets jail term
162,business,Verizon 'seals takeover of MCI'
163,business,US data sparks inflation worries
164,business,Yukos sues four firms for $20bn
165,business,Consumer spending lifts US growth
166,business,Crossrail link 'to get go-ahead'
167,business,Hariri killing hits Beirut shares
168,business,Small firms 'hit by rising costs'
169,business,Buyers snap up Jet Airways' shares
170,business,House prices suffer festive fall
171,business,Deutsche Boerse boosts dividend
172,business,Newest EU members underpin growth
173,business,Brewers' profits lose their fizz
174,business,Yangtze Electric's profits double
175,business,French consumer spending rising
176,business,GSK aims to stop Aids profiteers
177,business,Optimism remains over UK housing
178,business,Russia WTO talks 'make progress'
179,business,Irish duo could block Man Utd bid
180,business,Dollar drops on reserves concerns
181,business,India and Russia in energy talks
182,business,Weak data buffets French economy
183,business,Business fears over sluggish EU economy
184,business,M&S cuts prices by average of 24%
185,business,US bank 'loses' customer details
186,business,Huge rush for Jet Airways shares
187,business,Bank payout to Pinochet victims
188,business,Qwest may spark MCI bidding war
189,business,Fiat chief takes steering wheel
190,business,Consumers drive French economy
